transactions_id,sale_date,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
269,2022-09-19,87,Male,25,Clothing,4,500,250,2000
320,2022-04-20,57,Female,28,Electronics,4,300,159,1200
673,2022-07-04,18,Female,43,Clothing,3,500,270,1500
1269,2022-01-01,71,Male,25,Clothing,4,500,145,2000
1320,2022-11-02,102,Female,28,Electronics,4,300,84,1200
1673,2022-06-14,42,Female,43,Clothing,3,500,185,1500
142,2022-04-08,61,Male,35,Electronics,4,300,138,1200
223,2022-01-15,61,Female,64,Clothing,1,25,12,25
666,2022-03-03,49,Male,51,Electronics,3,50,16,150
1142,2022-11-09,2,Male,35,Electronics,4,300,114,1200
1223,2022-02-20,106,Female,64,Clothing,1,25,9.75,25
1666,2022-12-08,125,Male,51,Electronics,3,50,21,150
107,2022-10-06,75,Female,21,Clothing,4,300,78,1200
933,2022-09-19,81,Male,22,Beauty,1,30,12.9,30
1107,2022-12-31,62,Female,21,Clothing,4,300,102,1200
1933,2022-01-12,121,Male,22,Beauty,1,30,14.4,30
237,2022-04-11,105,Female,50,Beauty,2,500,165,1000
335,2022-02-02,2,Female,47,Beauty,4,30,10.8,120
1237,2022-02-23,48,Female,50,Beauty,2,500,215,1000
1335,2022-05-27,117,Female,47,Beauty,4,30,8.7,120
63,2022-02-03,127,Male,57,Electronics,2,25,6.25,50
195,2022-08-14,10,Male,52,Clothing,1,30,9.3,30
333,2022-10-06,21,Female,54,Electronics,4,300,99,1200
379,2022-06-01,76,Female,47,Clothing,1,25,8.5,25
490,2022-01-27,43,Male,34,Clothing,3,50,18.5,150
530,2022-05-01,8,Female,18,Electronics,4,30,9,120
740,2022-12-01,33,Female,25,Beauty,4,50,13,200
793,2022-05-27,1,Male,54,Beauty,1,30,14.7,30
1063,2022-08-04,56,Male,57,Electronics,2,25,11,50
1195,2022-09-21,55,Male,52,Clothing,1,30,12,30
1333,2022-11-01,151,Female,54,Electronics,4,300,165,1200
1379,2022-01-02,69,Female,47,Clothing,1,25,7.25,25
1490,2022-10-26,155,Male,34,Clothing,3,50,17,150
1530,2022-12-10,93,Female,18,Electronics,4,30,12.3,120
1740,2022-07-16,66,Female,25,Beauty,4,50,27,200
1793,2022-12-11,88,Male,54,Beauty,1,30,10.8,30
85,2022-09-03,68,Male,31,Clothing,3,50,19,150
232,2022-08-12,150,Female,43,Beauty,1,25,12.75,25
240,2022-11-05,95,Female,23,Beauty,1,300,123,300
993,2022-09-07,134,Female,48,Electronics,3,50,17,150
1085,2022-08-12,76,Male,31,Clothing,3,50,17,150
1232,2022-05-23,146,Female,43,Beauty,1,25,6.25,25
1240,2022-08-07,144,Female,23,Beauty,1,300,90,300
1993,2022-12-29,123,Female,48,Electronics,3,50,26.5,150
366,2022-10-29,116,Male,57,Clothing,2,50,17.5,100
372,2022-06-19,27,Female,24,Beauty,3,500,140,1500
596,2022-02-12,87,Female,64,Electronics,1,300,93,300
936,2022-01-05,143,Male,57,Beauty,4,50,19.5,200
1366,2022-01-01,25,Male,57,Clothing,2,50,23.5,100
1372,2022-03-18,60,Female,24,Beauty,3,500,145,1500
1596,2022-03-28,7,Female,64,Electronics,1,300,141,300
1936,2022-06-19,60,Male,57,Beauty,4,50,12.5,200
284,2022-11-12,129,Male,43,Clothing,4,50,20.5,200
434,2022-10-26,50,Female,43,Electronics,2,25,8.25,50
775,2022-05-06,98,Female,46,Electronics,4,25,9.5,100
977,2022-07-26,46,Female,35,Electronics,3,25,13.75,75
1284,2022-12-16,145,Male,43,Clothing,4,50,18,200
1434,2022-02-04,147,Female,43,Electronics,2,25,7,50
1775,2022-12-18,78,Female,46,Electronics,4,25,13.75,100
1977,2022-08-05,63,Female,35,Electronics,3,25,12,75
649,2022-06-21,44,Female,58,Clothing,2,300,135,600
1649,2022-10-21,72,Female,58,Clothing,2,300,75,600
54,2022-10-20,142,Female,38,Electronics,3,500,200,1500
68,2022-12-15,146,Male,25,Electronics,1,300,84,300
192,2022-11-08,134,Male,62,Beauty,2,50,13,100
1054,2022-01-10,49,Female,38,Electronics,3,500,140,1500
1068,2022-09-14,136,Male,25,Electronics,1,300,111,300
1192,2022-03-29,37,Male,62,Beauty,2,50,20.5,100
331,2022-08-16,28,Male,28,Electronics,3,30,10.2,90
346,2022-09-05,38,Male,59,Clothing,2,500,215,1000
657,2022-01-29,46,Male,40,Clothing,1,25,8,25
732,2022-10-13,136,Male,61,Electronics,2,500,250,1000
972,2022-08-16,139,Male,49,Beauty,4,25,6.75,100
1331,2022-05-15,36,Male,28,Electronics,3,30,13.8,90
1346,2022-04-10,112,Male,59,Clothing,2,500,130,1000
1657,2022-08-09,61,Male,40,Clothing,1,25,8,25
1732,2022-02-25,55,Male,61,Electronics,2,500,215,1000
1972,2022-12-21,5,Male,49,Beauty,4,25,9.25,100
714,2022-10-29,20,Female,18,Clothing,1,500,190,500
1714,2022-11-23,111,Female,18,Clothing,1,500,245,500
193,2022-03-27,55,Male,35,Beauty,3,500,180,1500
577,2022-04-21,45,Male,21,Beauty,4,500,215,2000
848,2022-01-24,15,Female,63,Clothing,3,25,9.75,75
945,2022-10-01,120,Male,30,Beauty,1,25,13.25,25
1193,2022-05-11,50,Male,35,Beauty,3,500,145,1500
1577,2022-09-11,145,Male,21,Beauty,4,500,160,2000
1848,2022-12-27,63,Female,63,Clothing,3,25,12.5,75
1945,2022-04-19,33,Male,30,Beauty,1,25,10.75,25
11,2022-02-27,151,Male,23,Clothing,2,50,23.5,100
821,2022-11-23,40,Male,49,Electronics,1,300,129,300
1011,2022-04-01,15,Male,23,Clothing,2,50,19,100
1821,2022-10-03,42,Male,49,Electronics,1,300,108,300
133,2022-06-23,70,Male,20,Electronics,3,300,87,900
1133,2022-03-05,58,Male,20,Electronics,3,300,159,900
16,2022-06-25,82,Male,19,Clothing,3,500,180,1500
42,2022-12-08,63,Male,22,Clothing,3,300,147,900
292,2022-10-10,111,Male,20,Beauty,4,300,141,1200
416,2022-08-21,55,Male,53,Electronics,4,500,245,2000
584,2022-12-31,106,Female,27,Beauty,4,50,16.5,200
861,2022-09-30,22,Female,41,Clothing,3,30,9.6,90
1016,2022-12-12,52,Male,19,Clothing,3,500,200,1500
1042,2022-02-11,7,Male,22,Clothing,3,300,150,900
1292,2022-05-15,88,Male,20,Beauty,4,300,90,1200
1416,2022-12-29,111,Male,53,Electronics,4,500,125,2000
1584,2022-09-03,62,Female,27,Beauty,4,50,16.5,200
1861,2022-07-04,145,Female,41,Clothing,3,30,10.2,90
256,2022-01-09,3,Male,23,Clothing,2,500,270,1000
1256,2022-11-05,29,Male,23,Clothing,2,500,190,1000
44,2022-03-03,93,Female,22,Clothing,1,25,11.75,25
257,2022-12-10,130,Male,19,Beauty,4,500,165,2000
1044,2022-02-20,70,Female,22,Clothing,1,25,7.5,25
1257,2022-05-10,29,Male,19,Beauty,4,500,255,2000
268,2022-04-14,93,Female,28,Electronics,1,30,8.7,30
287,2022-08-26,88,Male,54,Clothing,4,25,10,100
966,2022-11-07,119,Male,60,Electronics,2,500,190,1000
1268,2022-06-09,15,Female,28,Electronics,1,30,14.1,30
1287,2022-09-13,120,Male,54,Clothing,4,25,7,100
1966,2022-07-20,74,Male,60,Electronics,2,500,200,1000
70,2022-12-27,147,Female,43,Clothing,1,300,84,300
371,2022-12-18,32,Female,20,Beauty,1,25,13,25
900,2022-11-10,130,Male,21,Clothing,2,30,15.6,60
1070,2022-07-14,102,Female,43,Clothing,1,300,120,300
1371,2022-05-06,41,Female,20,Beauty,1,25,13.5,25
1900,2022-01-21,65,Male,21,Clothing,2,30,10.8,60
8,2022-12-27,148,Male,30,Electronics,4,25,11,100
41,2022-10-11,88,Male,34,Clothing,2,25,13.25,50
454,2022-03-12,13,Female,46,Beauty,1,25,13,25
780,2022-07-06,107,Male,52,Electronics,2,25,13.25,50
920,2022-08-20,99,Female,28,Beauty,3,25,6.75,75
1008,2022-01-10,116,Male,30,Electronics,4,25,13,100
1041,2022-05-10,74,Male,34,Clothing,2,25,11,50
1454,2022-06-25,22,Female,46,Beauty,1,25,6.75,25
1780,2022-12-11,32,Male,52,Electronics,2,25,10.5,50
1920,2022-10-24,23,Female,28,Beauty,3,25,9.25,75
396,2022-12-15,29,Female,55,Beauty,1,30,10.8,30
1396,2022-06-07,9,Female,55,Beauty,1,30,8.4,30
168,2022-04-29,138,Male,53,Clothing,1,300,102,300
400,2022-03-08,2,Male,53,Clothing,4,50,24,200
611,2022-07-21,11,Male,51,Beauty,3,500,180,1500
800,2022-09-19,111,Male,32,Clothing,4,300,87,1200
1168,2022-07-10,68,Male,53,Clothing,1,300,150,300
1400,2022-09-12,115,Male,53,Clothing,4,50,20,200
1611,2022-11-17,125,Male,51,Beauty,3,500,180,1500
1800,2022-08-21,1,Male,32,Clothing,4,300,111,1200
272,2022-06-10,112,Female,61,Electronics,2,50,27.5,100
473,2022-09-25,1,Male,64,Beauty,1,50,14.5,50
506,2022-04-29,9,Male,34,Beauty,3,500,200,1500
766,2022-01-04,128,Male,38,Electronics,3,300,165,900
1272,2022-04-14,66,Female,61,Electronics,2,50,17,100
1473,2022-03-19,30,Male,64,Beauty,1,50,13,50
1506,2022-01-09,52,Male,34,Beauty,3,500,245,1500
1766,2022-11-22,6,Male,38,Electronics,3,300,129,900
135,2022-04-18,104,Male,20,Clothing,2,25,13,50
1135,2022-01-14,124,Male,20,Clothing,2,25,12.5,50
2,2022-06-24,104,Female,26,Clothing,2,500,135,1000
158,2022-01-21,141,Female,44,Electronics,2,300,132,600
185,2022-06-27,57,Male,24,Clothing,1,25,7,25
433,2022-07-29,144,Male,29,Beauty,4,50,20,200
1002,2022-03-02,69,Female,26,Clothing,2,500,270,1000
1158,2022-02-24,77,Female,44,Electronics,2,300,138,600
1185,2022-10-04,153,Male,24,Clothing,1,25,10.25,25
1433,2022-01-16,113,Male,29,Beauty,4,50,15.5,200
152,2022-06-16,120,Male,43,Electronics,4,500,210,2000
753,2022-07-06,70,Female,32,Clothing,1,30,15.9,30
763,2022-04-23,58,Male,34,Clothing,2,25,11.5,50
932,2022-10-08,120,Female,45,Beauty,4,25,7.75,100
1152,2022-12-26,87,Male,43,Electronics,4,500,170,2000
1753,2022-07-17,28,Female,32,Clothing,1,30,10.5,30
1763,2022-06-30,93,Male,34,Clothing,2,25,13.5,50
1932,2022-11-08,96,Female,45,Beauty,4,25,6.25,100
399,2022-12-07,136,Female,64,Beauty,2,30,12.9,60
500,2022-10-14,120,Female,60,Beauty,4,25,11.5,100
514,2022-11-04,139,Female,18,Electronics,1,300,96,300
1399,2022-01-28,15,Female,64,Beauty,2,30,16.2,60
1500,2022-04-20,53,Female,60,Beauty,4,25,8.5,100
1514,2022-07-12,59,Female,18,Electronics,1,300,75,300
947,2022-07-31,4,Male,50,Beauty,1,300,129,300
1947,2022-03-05,134,Male,50,Beauty,1,300,75,300
220,2022-05-07,138,Male,64,Beauty,1,500,140,500
339,2022-08-18,33,Female,22,Electronics,2,25,10.25,50
785,2022-10-19,88,Female,31,Beauty,4,50,13,200
885,2022-09-17,121,Female,52,Clothing,4,30,14.4,120
888,2022-12-01,63,Female,52,Electronics,4,25,12.75,100
1220,2022-06-29,47,Male,64,Beauty,1,500,240,500
1339,2022-11-10,132,Female,22,Electronics,2,25,7.5,50
1785,2022-02-20,144,Female,31,Beauty,4,50,17,200
1885,2022-11-09,148,Female,52,Clothing,4,30,10.8,120
1888,2022-06-14,49,Female,52,Electronics,4,25,12.5,100
621,2022-04-13,138,Female,40,Beauty,2,500,275,1000
1621,2022-09-22,2,Female,40,Beauty,2,500,160,1000
52,2022-09-19,55,Female,36,Beauty,1,300,111,300
536,2022-08-20,17,Female,55,Beauty,4,30,8.7,120
1052,2022-02-12,94,Female,36,Beauty,1,300,120,300
1536,2022-05-11,14,Female,55,Beauty,4,30,13.5,120
197,2022-04-03,14,Female,42,Clothing,4,50,25.5,200
750,2022-11-13,69,Female,35,Clothing,3,25,8.75,75
910,2022-08-21,138,Female,20,Beauty,3,50,22.5,150
917,2022-02-15,120,Female,57,Electronics,4,50,16.5,200
1197,2022-08-13,77,Female,42,Clothing,4,50,19,200
1750,2022-01-20,138,Female,35,Clothing,3,25,7.25,75
1910,2022-10-09,141,Female,20,Beauty,3,50,18,150
1917,2022-05-02,52,Female,57,Electronics,4,50,24,200
198,2022-05-21,30,Female,54,Beauty,3,300,114,900
444,2022-10-06,51,Female,61,Clothing,3,30,15.9,90
547,2022-11-14,3,Male,63,Clothing,4,500,250,2000
705,2022-09-30,37,Male,60,Electronics,2,25,6.25,50
1198,2022-08-07,147,Female,54,Beauty,3,300,159,900
1444,2022-04-29,135,Female,61,Clothing,3,30,14.1,90
1547,2022-08-11,142,Male,63,Clothing,4,500,235,2000
1705,2022-08-14,94,Male,60,Electronics,2,25,8.75,50
423,2022-07-18,41,Female,27,Clothing,1,25,11.75,25
1423,2022-06-15,131,Female,27,Clothing,1,25,11,25
248,2022-07-02,5,Male,26,Clothing,3,300,126,900
360,2022-09-09,26,Male,42,Clothing,4,25,10.5,100
377,2022-09-13,141,Female,46,Clothing,4,50,18,200
1248,2022-09-08,68,Male,26,Clothing,3,300,111,900
1360,2022-06-18,93,Male,42,Clothing,4,25,6.25,100
1377,2022-03-21,71,Female,46,Clothing,4,50,14,200
397,2023-10-26,59,Female,30,Beauty,1,25,10.5,25
623,2023-11-15,39,Male,34,Clothing,3,50,26,150
1397,2023-01-01,6,Female,30,Beauty,1,25,11.75,25
1623,2023-03-05,76,Male,34,Clothing,3,50,22,150
717,2023-11-30,8,Male,57,Clothing,1,500,190,500
1717,2023-01-12,21,Male,57,Clothing,1,500,175,500
130,2023-06-19,114,Female,57,Clothing,1,500,125,500
658,2023-10-30,93,Male,59,Clothing,1,25,6.5,25
1130,2023-02-20,28,Female,57,Clothing,1,500,180,500
1658,2023-04-10,148,Male,59,Clothing,1,25,12.25,25
7,2023-07-06,38,Male,46,Clothing,2,25,13.25,50
119,2023-09-01,127,Female,60,Clothing,3,50,27.5,150
278,2023-12-22,71,Female,37,Clothing,4,25,13.5,100
1007,2023-06-09,15,Male,46,Clothing,2,25,11.5,50
1119,2023-11-19,1,Female,60,Clothing,3,50,25.5,150
1278,2023-07-19,28,Female,37,Clothing,4,25,6.75,100
117,2023-08-04,8,Male,19,Electronics,2,500,230,1000
1117,2023-09-11,144,Male,19,Electronics,2,500,210,1000
442,2023-06-30,24,Female,60,Clothing,4,25,13.25,100
590,2023-05-04,151,Male,36,Clothing,3,300,135,900
607,2023-05-05,109,Male,54,Clothing,3,25,13.25,75
1442,2023-02-16,96,Female,60,Clothing,4,25,11.25,100
1590,2023-08-10,142,Male,36,Clothing,3,300,147,900
1607,2023-01-16,53,Male,54,Clothing,3,25,7.75,75
436,2023-10-22,21,Female,57,Clothing,4,30,13.5,120
942,2023-12-01,35,Male,51,Clothing,3,500,160,1500
1436,2023-01-20,1,Female,57,Clothing,4,30,9.9,120
1942,2023-09-16,112,Male,51,Clothing,3,500,265,1500
659,2023-06-09,75,Female,39,Electronics,1,30,8.1,30
941,2023-04-28,39,Female,57,Clothing,2,25,6.5,50
1659,2023-07-27,22,Female,39,Electronics,1,30,9,30
1941,2023-01-06,48,Female,57,Clothing,2,25,12,50
136,2023-12-26,25,Male,44,Electronics,2,300,141,600
175,2023-01-25,23,Female,31,Electronics,4,25,12.5,100
663,2023-08-16,133,Male,23,Clothing,4,300,87,1200
748,2023-03-01,132,Male,25,Clothing,3,50,24,150
806,2023-01-22,14,Female,35,Beauty,3,300,165,900
1136,2023-07-02,93,Male,44,Electronics,2,300,81,600
1175,2023-06-02,103,Female,31,Electronics,4,25,11.5,100
1663,2023-12-07,33,Male,23,Clothing,4,300,81,1200
1748,2023-03-02,119,Male,25,Clothing,3,50,15.5,150
1806,2023-06-14,61,Female,35,Beauty,3,300,102,900
38,2023-02-25,147,Male,38,Beauty,4,50,26,200
313,2023-12-16,11,Female,55,Beauty,3,500,140,1500
402,2023-07-12,63,Female,41,Clothing,2,300,135,600
459,2023-05-23,122,Male,28,Clothing,4,300,75,1200
1038,2023-12-30,11,Male,38,Beauty,4,50,20.5,200
1313,2023-06-04,10,Female,55,Beauty,3,500,170,1500
1402,2023-06-24,110,Female,41,Clothing,2,300,156,600
1459,2023-11-10,13,Male,28,Clothing,4,300,144,1200
161,2023-07-01,104,Male,64,Beauty,2,500,195,1000
328,2023-10-29,9,Male,39,Beauty,2,50,27,100
383,2023-03-24,64,Female,46,Beauty,3,30,7.8,90
973,2023-09-03,51,Male,60,Clothing,1,50,13,50
978,2023-07-27,16,Female,53,Clothing,3,50,19,150
1161,2023-06-29,30,Male,64,Beauty,2,500,160,1000
1328,2023-12-10,60,Male,39,Beauty,2,50,24.5,100
1383,2023-09-06,68,Female,46,Beauty,3,30,14.1,90
1973,2023-08-19,22,Male,60,Clothing,1,50,21.5,50
1978,2023-08-31,41,Female,53,Clothing,3,50,15.5,150
33,2023-12-24,33,Female,50,Electronics,2,50,21,100
138,2023-04-27,127,Male,49,Clothing,4,50,26.5,200
471,2023-03-08,136,Male,32,Clothing,3,50,13,150
636,2023-05-09,60,Female,21,Beauty,3,500,230,1500
1033,2023-04-12,32,Female,50,Electronics,2,50,19,100
1138,2023-10-16,27,Male,49,Clothing,4,50,14.5,200
1471,2023-06-25,30,Male,32,Clothing,3,50,13,150
1636,2023-07-22,50,Female,21,Beauty,3,500,150,1500
177,2023-03-24,30,Male,45,Beauty,2,50,26.5,100
426,2023-12-13,137,Male,23,Electronics,3,50,12.5,150
1177,2023-02-20,89,Male,45,Beauty,2,50,15,100
1426,2023-12-12,114,Male,23,Electronics,3,50,25,150
76,2023-09-09,70,Female,22,Electronics,2,50,14.5,100
91,2023-04-14,152,Female,55,Electronics,1,500,235,500
461,2023-07-18,21,Female,18,Beauty,2,500,265,1000
764,2023-11-07,47,Female,40,Clothing,1,25,11.25,25
1076,2023-07-14,99,Female,22,Electronics,2,50,15,100
1091,2023-07-15,139,Female,55,Electronics,1,500,235,500
1461,2023-05-01,63,Female,18,Beauty,2,500,180,1000
1764,2023-11-02,13,Female,40,Clothing,1,25,11.75,25
202,2023-01-25,61,Female,34,Clothing,4,300,120,1200
301,2023-07-30,104,Male,30,Clothing,4,30,9.6,120
703,2023-07-31,140,Male,34,Electronics,2,50,18.5,100
1202,2023-11-13,89,Female,34,Clothing,4,300,144,1200
1301,2023-09-24,70,Male,30,Clothing,4,30,10.5,120
